deviceid,floatvalue,timestamp
CakebreadId_0128,38,01/29/2020 03:58,
CakebreadId_0128,35,01/29/2020 04:00,
CakebreadId_0128,34,01/29/2020 04:00,
CakebreadId_0128,38,01/29/2020 04:01,
CakebreadId_0128,34,01/29/2020 04:02,
CakebreadId_0128,28,01/29/2020 04:02,
CakebreadId_0128,36,01/29/2020 04:02,
CakebreadId_0128,38,01/29/2020 04:02,
CakebreadId_0128,36,01/29/2020 04:04,
CakebreadId_0128,30,01/29/2020 04:05,
CakebreadId_0128,37,01/29/2020 04:05,
CakebreadId_0128,38,01/29/2020 04:05,
CakebreadId_0128,37,01/29/2020 04:05,
CakebreadId_0128,38,01/29/2020 04:05,
CakebreadId_0128,35,01/29/2020 04:06,
CakebreadId_0128,33,01/29/2020 04:06,
CakebreadId_0128,38,01/29/2020 04:07,
CakebreadId_0128,35,01/29/2020 04:08,
CakebreadId_0128,33,01/29/2020 04:08,
CakebreadId_0128,38,01/29/2020 04:08,
CakebreadId_0128,35,01/29/2020 04:09,
CakebreadId_0128,27,01/29/2020 04:10,
CakebreadId_0128,37,01/29/2020 04:10,
CakebreadId_0128,38,01/29/2020 04:10,
CakebreadId_0128,35,01/29/2020 04:12,
CakebreadId_0128,26,01/29/2020 04:12,
CakebreadId_0128,35,01/29/2020 04:12,
CakebreadId_0128,38,01/29/2020 04:12,
CakebreadId_0128,37,01/29/2020 04:12,
CakebreadId_0128,38,01/29/2020 04:13,
CakebreadId_0128,36,01/29/2020 04:13,
CakebreadId_0128,28,01/29/2020 04:13,
CakebreadId_0128,37,01/29/2020 04:14,
CakebreadId_0128,38,01/29/2020 04:14,
CakebreadId_0128,37,01/29/2020 04:15,
CakebreadId_0128,33,01/29/2020 04:15,
CakebreadId_0128,38,01/29/2020 04:15,
CakebreadId_0128,35,01/29/2020 04:16,
CakebreadId_0128,30,01/29/2020 04:16,
CakebreadId_0128,38,01/29/2020 04:17,
CakebreadId_0128,35,01/29/2020 04:18,
CakebreadId_0128,30,01/29/2020 04:18,
CakebreadId_0128,38,01/29/2020 04:19,
CakebreadId_0128,37,01/29/2020 04:19,
CakebreadId_0128,36,01/29/2020 04:20,
CakebreadId_0128,31,01/29/2020 04:20,
CakebreadId_0128,38,01/29/2020 04:20,
CakebreadId_0128,31,01/29/2020 04:23,
CakebreadId_0128,38,01/29/2020 04:23,
CakebreadId_0128,36,01/29/2020 04:24,
CakebreadId_0128,32,01/29/2020 04:24,
CakebreadId_0128,33,01/29/2020 04:25,
CakebreadId_0128,38,01/29/2020 04:25,
CakebreadId_0128,37,01/29/2020 04:25,
CakebreadId_0128,38,01/29/2020 04:25,
CakebreadId_0128,36,01/29/2020 04:26,
CakebreadId_0128,31,01/29/2020 04:26,
CakebreadId_0128,37,01/29/2020 04:27,
CakebreadId_0128,38,01/29/2020 04:27,
CakebreadId_0128,37,01/29/2020 04:27,
CakebreadId_0128,38,01/29/2020 04:28,
CakebreadId_0128,35,01/29/2020 04:29,
CakebreadId_0128,28,01/29/2020 04:29,
CakebreadId_0128,37,01/29/2020 04:29,
CakebreadId_0128,38,01/29/2020 04:29,
CakebreadId_0128,37,01/29/2020 04:30,
CakebreadId_0128,38,01/29/2020 04:30,
CakebreadId_0128,37,01/29/2020 04:31,
CakebreadId_0128,35,01/29/2020 04:32,
CakebreadId_0128,28,01/29/2020 04:32,
CakebreadId_0128,35,01/29/2020 04:32,
CakebreadId_0128,38,01/29/2020 04:32,
CakebreadId_0128,39,01/29/2020 04:33,
CakebreadId_0128,38,01/29/2020 04:33,
CakebreadId_0128,40,01/29/2020 04:34,
CakebreadId_0128,37,01/29/2020 04:34,
CakebreadId_0128,38,01/29/2020 04:35,
CakebreadId_0128,37,01/29/2020 04:35,
CakebreadId_0128,38,01/29/2020 04:35,
CakebreadId_0128,37,01/29/2020 04:35,
CakebreadId_0128,35,01/29/2020 04:35,
CakebreadId_0128,27,01/29/2020 04:36,
CakebreadId_0128,24,01/29/2020 04:36,
CakebreadId_0128,33,01/29/2020 04:36,
CakebreadId_0128,39,01/29/2020 04:36,
CakebreadId_0128,31,01/29/2020 04:37,
CakebreadId_0128,40,01/29/2020 04:37,
CakebreadId_0128,37,01/29/2020 04:38,
CakebreadId_0128,30,01/29/2020 04:38,
CakebreadId_0128,39,01/29/2020 04:38,
CakebreadId_0128,40,01/29/2020 04:38,
CakebreadId_0128,39,01/29/2020 04:39,
